Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,Type,DOI,CitesPerYear,Age,FullTextURL
292,"CC Wang, S Reinhold, A Kalmykov, A Wissgott, ...",Ancient human genome-wide data from a 3000-year interval in the Caucasus corresponds with eco-geographic regions,2019,Nature …,nature.com,https://www.nature.com/articles/s41467-018-08220-8,"https://scholar.google.com/scholar?cites=10424341068098304946&as_sdt=2005&sciodt=0,5&hl=en",HTML,,42.83,6,https://www.nature.com/articles/s41467-018-08220-8
56,"GA Gnecchi-Ruscone, S Sarno, ...",Dissecting the pre-Columbian genomic ancestry of Native Americans along the Andes–Amazonia divide,2019,Molecular biology …,academic.oup.com,https://academic.oup.com/mbe/article-abstract/36/6/1254/5415917,"https://scholar.google.com/scholar?cites=5084247084875221177&as_sdt=2005&sciodt=0,5&hl=en",,,9.33,6,https://academic.oup.com/mbe/article-pdf/36/6/1254/28675035/msz066.pdf
56,"L Liu, M Bosse, HJ Megens, LAF Frantz, YL Lee, ...",Genomic analysis on pygmy hog reveals extensive interbreeding during wild boar expansion,2019,Nature …,nature.com,https://www.nature.com/articles/s41467-019-10017-2,"https://scholar.google.com/scholar?cites=12099917122800469980&as_sdt=2005&sciodt=0,5&hl=en",HTML,,9.33,6,https://www.nature.com/articles/s41467-019-10017-2
42,"G Serra-Vidal, M Lucas-Sanchez, K Fadhlaoui-Zid, ...",Heterogeneity in Palaeolithic population continuity and Neolithic expansion in North Africa,2019,Current Biology,cell.com,https://www.cell.com/current-biology/fulltext/S0960-9822(19)31241-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982219312412%3Fshowall%3Dtrue&fbclid=IwAR1NQU2al4lZE6WIZhBxIuyMYmGxDYrGtlNtntYAybz4o8BJN6LWew02iw4,"https://scholar.google.com/scholar?cites=5727792317945515548&as_sdt=2005&sciodt=0,5&hl=en",HTML,,7,6,https://www.cell.com/current-biology/fulltext/S0960-9822(19)31241-2?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982219312412%3Fshowall%3Dtrue&fbclid=IwAR1NQU2al4lZE6WIZhBxIuyMYmGxDYrGtlNtntYAybz4o8BJN6LWew02iw4
19,"ZY Xia, S Yan, CC Wang, HX Zheng, F Zhang, YC Liu, ...",Inland-coastal bifurcation of southern East Asians revealed by Hmong-Mien genomic history,2019,bioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/730903.abstract,"https://scholar.google.com/scholar?cites=18146733718588622027&as_sdt=2005&sciodt=0,5&hl=en",,10.1101/730903.abstract,3.17,6,https://www.biorxiv.org/content/biorxiv/early/2019/08/09/730903.full.pdf
10,"M Haber, R Saif-Ali, M Al-Habori, Y Chen, DE Platt, ...",Insight into the genomic history of the Near East from whole-genome sequences and genotypes of Yemenis,2019,Biorxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/749341.abstract,"https://scholar.google.com/scholar?cites=11573129381961502646&as_sdt=2005&sciodt=0,5&hl=en",,10.1101/749341.abstract,1.67,6,https://www.biorxiv.org/content/10.1101/749341.full.pdf
62,"AG Nikitin, P Stadler, N Kotova, M Teschler-Nicola, ...",Interactions between earliest Linearbandkeramik farmers and central European hunter gatherers at the dawn of European Neolithization,2019,Scientific Reports,nature.com,https://www.nature.com/articles/s41598-019-56029-2,"https://scholar.google.com/scholar?cites=11412069500601248186&as_sdt=2005&sciodt=0,5&hl=en",HTML,,10.33,6,https://www.nature.com/articles/s41598-019-56029-2
90,"H Kanzawa-Kiriyama, TA Jinam, Y Kawai, ...","Late Jomon male and female genome sequences from the Funadomari site in Hokkaido, Japan",2019,Anthropological …,jstage.jst.go.jp,https://www.jstage.jst.go.jp/article/ase/127/2/127_190415/_article/-char/ja/,"https://scholar.google.com/scholar?cites=7276062432640666188&as_sdt=2005&sciodt=0,5&hl=en",,,15,6,https://www.jstage.jst.go.jp/article/ase/127/2/127_190415/_pdf
244,"P Flegontov, NE Altınışık, P Changmai, N Rohland, ...",Palaeo-Eskimo genetic ancestry and the peopling of Chukotka and North America,2019,Nature,nature.com,https://www.nature.com/articles/s41586-019-1251-y,"https://scholar.google.com/scholar?cites=4558182014555565898&as_sdt=2005&sciodt=0,5&hl=en",HTML,,36.83,6,https://www.nature.com/articles/s41586-019-1251-y
66,"M Vicente, E Priehodová, I Diallo, E Podgorná, ...",Population history and genetic adaptation of the Fulani nomads: inferences from genome-wide data and the lactase persistence trait,2019,BMC genomics,Springer,https://link.springer.com/article/10.1186/s12864-019-6296-7,"https://scholar.google.com/scholar?cites=1521023164207909581&as_sdt=2005&sciodt=0,5&hl=en",HTML,10.1186/s12864-019-6296-7,11,6,https://link.springer.com/article/10.1186/s12864-019-6296-7
924,"VM Narasimhan, N Patterson, P Moorjani, N Rohland, ...",The formation of human populations in South and Central Asia,2019,Science,science.org,https://www.science.org/doi/abs/10.1126/science.aat7487,"https://scholar.google.com/scholar?cites=3887574919451596844&as_sdt=2005&sciodt=0,5&hl=en",,10.1126/science.aat7487,134.33,6,https://www.science.org/doi/full/10.1126/science.aat7487
219,"C Jeong, O Balanovsky, E Lukianova, ...",The genetic history of admixture across inner Eurasia,2019,Nature ecology & …,nature.com,https://www.nature.com/articles/s41559-019-0878-2,"https://scholar.google.com/scholar?cites=14371707998782133393&as_sdt=2005&sciodt=0,5&hl=en",HTML,,35.33,6,https://www.nature.com/articles/s41559-019-0878-2
61,"K Tätte, L Pagani, AK Pathak, S Kõks, B Ho Duy, ...",The genetic legacy of continental scale admixture in Indian Austroasiatic speakers,2019,Scientific reports,nature.com,https://www.nature.com/articles/s41598-019-40399-8,"https://scholar.google.com/scholar?cites=15290185768613613952&as_sdt=2005&sciodt=0,5&hl=en",HTML,,10.17,6,https://www.nature.com/articles/s41598-019-40399-8
116,"RM Gutaker, CL Weiß, D Ellis, NL Anglin, ...",The origins and adaptation of European potatoes reconstructed from historical genomes,2019,Nature ecology & …,nature.com,https://www.nature.com/articles/s41559-019-0921-3,"https://scholar.google.com/scholar?cites=776104090601406409&as_sdt=2005&sciodt=0,5&hl=en",HTML,,19.33,6,https://www.nature.com/articles/s41559-019-0921-3
467,"M Sikora, VV Pitulko, VC Sousa, ME Allentoft, L Vinner, ...",The population history of northeastern Siberia since the Pleistocene,2019,Nature,nature.com,https://www.nature.com/articles/s41586-019-1279-z,"https://scholar.google.com/scholar?cites=12441392675695299012&as_sdt=2005&sciodt=0,5&hl=en",HTML,,77.83,6,https://www.nature.com/articles/s41586-019-1279-z
20,"L Molinaro, F Montinaro, B Yelmen, D Marnetto, ...",West Asian sources of the Eurasian component in Ethiopians: a reassessment,2019,Scientific reports,nature.com,https://www.nature.com/articles/s41598-019-55344-y,"https://scholar.google.com/scholar?cites=4774321282176991114&as_sdt=2005&sciodt=0,5&hl=en",HTML,,3.33,6,https://www.nature.com/articles/s41598-019-55344-y
288,"MS Wang, M Thakur, MS Peng, YU Jiang, LAF Frantz, ...",863 genomes reveal the origin and domestication of chicken,2020,Cell research,nature.com,https://www.nature.com/articles/s41422-020-0349-y,"https://scholar.google.com/scholar?cites=7527110023739070189&as_sdt=2005&sciodt=0,5&hl=en",HTML,,57.6,5,https://www.nature.com/articles/s41422-020-0349-y
115,"N Nakatsuka, I Lazaridis, C Barbieri, P Skoglund, ...",A paleogenomic reconstruction of the deep population history of the Andes,2020,Cell,cell.com,https://www.cell.com/cell/fulltext/S0092-8674(20)30477-3?fbclid=IwAR2f3oWjhQYtcqUqg6E11vAkKy7Id_UYrGxit2TT0wSNZ2s4wlLsJJYeUsg,"https://scholar.google.com/scholar?cites=8692175456014762778&as_sdt=2005&sciodt=0,5&hl=en",HTML,,23,5,https://www.cell.com/cell/fulltext/S0092-8674(20)30477-3?fbclid=IwAR2f3oWjhQYtcqUqg6E11vAkKy7Id_UYrGxit2TT0wSNZ2s4wlLsJJYeUsg
4,"L Liu, M Bosse, HJ Megens, LAF Frantz, YL Lee, ...",Addendum: Genomic analysis on pygmy hog reveals extensive interbreeding during wild boar expansion,2020,Nature …,nature.com,https://www.nature.com/articles/s41467-020-20106-2,"https://scholar.google.com/scholar?cites=2647551321228049816&as_sdt=2005&sciodt=0,5&hl=en",HTML,,0.8,5,https://www.nature.com/articles/s41467-020-20106-2
57,"RF Nespolo, CA Villarroel, CI Oporto, SM Tapia, ...",An Out-of-Patagonia migration explains the worldwide diversity and distribution of Saccharomyces eubayanus lineages,2020,PLoS …,journals.plos.org,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1008777,"https://scholar.google.com/scholar?cites=5420713268730503654&as_sdt=2005&sciodt=0,5&hl=en",HTML,,11.4,5,https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1008777
63,"N Nakatsuka, P Luisi, JMB Motti, M Salemme, ...",Ancient genomes in South Patagonia reveal population movements associated with technological shifts and geography,2020,Nature …,nature.com,https://www.nature.com/articles/s41467-020-17656-w,"https://scholar.google.com/scholar?cites=9635154799366954332&as_sdt=2005&sciodt=0,5&hl=en",HTML,,12.6,5,https://www.nature.com/articles/s41467-020-17656-w
82,"MS Wang, S Wang, Y Li, Y Jhala, ...",Ancient hybridization with an unknown population facilitated high-altitude adaptation of canids,2020,Molecular Biology …,academic.oup.com,https://academic.oup.com/mbe/article-pdf/doi/10.1093/molbev/msaa113/33866711/msaa113.pdf,"https://scholar.google.com/scholar?cites=15065003311327066512&as_sdt=2005&sciodt=0,5&hl=en",PDF,10.1093/molbev/msaa113/33866711/msaa113,16.4,5,https://academic.oup.com/mbe/article-pdf/doi/10.1093/molbev/msaa113/33866711/msaa113.pdf
81,"T Gakuhari, S Nakagome, S Rasmussen, ...",Ancient Jomon genome sequence analysis sheds light on migration patterns of early East Asian populations,2020,Communications …,nature.com,https://www.nature.com/articles/s42003-020-01162-2,"https://scholar.google.com/scholar?cites=6268605139557278607&as_sdt=2005&sciodt=0,5&hl=en",HTML,,14.8,5,https://www.nature.com/articles/s42003-020-01162-2
180,"M Lipson, I Ribot, S Mallick, N Rohland, I Olalde, ...",Ancient West African foragers in the context of African population history,2020,Nature,nature.com,https://www.nature.com/articles/s41586-020-1929-1,"https://scholar.google.com/scholar?cites=6572315071739819923&as_sdt=2005&sciodt=0,5&hl=en",HTML,,36,5,https://www.nature.com/articles/s41586-020-1929-1
65,M Lipson,Applying f4‐statistics and admixture graphs: Theory and examples,2020,Molecular Ecology Resources,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/1755-0998.13230,"https://scholar.google.com/scholar?cites=13473697106937275670&as_sdt=2005&sciodt=0,5&hl=en",,10.1111/1755-0998.13230,12,5,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1755-0998.13230
14,"M Seidualy, A Blazyte, S Jeon, Y Bhak, Y Jeon, J Kim, ...",Decoding a highly mixed Kazakh genome,2020,Human genetics,Springer,https://link.springer.com/article/10.1007/s00439-020-02132-8,"https://scholar.google.com/scholar?cites=17669619586121673092&as_sdt=2005&sciodt=0,5&hl=en",HTML,10.1007/s00439-020-02132-8,2.8,5,https://link.springer.com/article/10.1007/s00439-020-02132-8
30,"AM Ribeiro-dos-Santos, AF Vidal, ...",Exome sequencing of native populations from the Amazon reveals patterns on the peopling of South America,2020,Frontiers in …,frontiersin.org,https://www.frontiersin.org/articles/10.3389/fgene.2020.548507/full,"https://scholar.google.com/scholar?cites=10794205805172516303&as_sdt=2005&sciodt=0,5&hl=en",HTML,10.3389/fgene.2020.548507,6,5,https://www.frontiersin.org/articles/10.3389/fgene.2020.548507/full
94,"D Liu, NT Duong, ND Ton, N Van Phong, ...",Extensive ethnolinguistic diversity in Vietnam reflects multiple sources of genetic diversity,2020,Molecular biology …,academic.oup.com,https://academic.oup.com/mbe/article-pdf/doi/10.1093/molbev/msaa099/33866540/msaa099.pdf,"https://scholar.google.com/scholar?cites=18112785288538752937&as_sdt=2005&sciodt=0,5&hl=en",PDF,10.1093/molbev/msaa099/33866540/msaa099,18.8,5,https://academic.oup.com/mbe/article-pdf/doi/10.1093/molbev/msaa099/33866540/msaa099.pdf
0,"F Shijing, L Zhenshan, Y Hu, T Jieyun, ...","Genomic analysis reveals the genetic diversity, population structure, evolutionary history and relationships of Chinese pepper",2020,Horticulture …,search.proquest.com,https://search.proquest.com/openview/bb465e8b95f685d935e932c8ae5d21ed/1?pq-origsite=gscholar&cbl=2041956,,HTML,,0,5,https://search.proquest.com/openview/bb465e8b95f685d935e932c8ae5d21ed/1?pq-origsite=gscholar&cbl=2041956
49,"S Feng, Z Liu, Y Hu, J Tian, T Yang, ...","Genomic analysis reveals the genetic diversity, population structure, evolutionary history and relationships of Chinese pepper",2020,Horticulture research,academic.oup.com,https://academic.oup.com/hr/article-abstract/doi/10.1038/s41438-020-00376-z/6445689,"https://scholar.google.com/scholar?cites=6145758919990135589&as_sdt=2005&sciodt=0,5&hl=en",,10.1038/s41438-020-00376-z/6445689,9.8,5,https://academic.oup.com/hr/article-pdf/doi/10.1038/s41438-020-00376-z/41991005/41438_2020_article_376.pdf
11,"MS van de Loosdrecht, MA Mannino, S Talamo, ...",Genomic and dietary transitions during the Mesolithic and Early Neolithic in Sicily,2020,bioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/2020.03.11.986158.abstract,"https://scholar.google.com/scholar?cites=16623864223169564339&as_sdt=2005&sciodt=0,5&hl=en",,10.1101/2020.03.11.986158.abstract,2.2,5,https://www.biorxiv.org/content/10.1101/2020.03.11.986158.full.pdf
269,"RM Gutaker, SC Groen, ES Bellis, JY Choi, IS Pires, ...",Genomic history and ecology of the geographic spread of rice,2020,Nature plants,nature.com,https://www.nature.com/articles/s41477-020-0659-6,"https://scholar.google.com/scholar?cites=3748042972641129819&as_sdt=2005&sciodt=0,5&hl=en",HTML,,53.8,5,https://www.nature.com/articles/s41477-020-0659-6
48,"MA Castro e Silva, K Nunes, RB Lemes, ...",Genomic insight into the origins and dispersal of the Brazilian coastal natives,2020,Proceedings of the …,pnas.org,https://www.pnas.org/doi/abs/10.1073/pnas.1909075117,"https://scholar.google.com/scholar?cites=13577445811081969104&as_sdt=2005&sciodt=0,5&hl=en",,10.1073/pnas.1909075117,9.6,5,https://www.pnas.org/doi/full/10.1073/pnas.1909075117
371,"A Choudhury, S Aron, LR Botigué, D Sengupta, ...",High-depth African genomes inform human migration and health,2020,Nature,nature.com,https://www.nature.com/articles/s41586-020-2859-7,"https://scholar.google.com/scholar?cites=17245206875860945494&as_sdt=2005&sciodt=0,5&hl=en",HTML,,74.2,5,https://www.nature.com/articles/s41586-020-2859-7
0,"CL Scheib, C Tyler-Smith","Marc Haber,* Joyce Nassar, 4 Mohamed A. Almarri, 3 Tina Saupe, 5, 6 Lehti Saag, 5 Samuel J. Griffith, 5 Claude Doumet-Serhal, 7 Julien Chanteau, 8 Muntaha …",2020,The American Journal of Human …,efashare.b-cdn.net,https://efashare.b-cdn.net/share/pmc/articles/PMC7332655/bin/mmc3.pdf,,PDF,,0,5,https://efashare.b-cdn.net/share/pmc/articles/PMC7332655/bin/mmc3.pdf
34,"E Bianco, G Laval, N Font-Porterias, ...","Recent common origin, reduced population size, and marked admixture have shaped European Roma genomes",2020,Molecular biology …,academic.oup.com,https://academic.oup.com/mbe/article-abstract/37/11/3175/5863255,"https://scholar.google.com/scholar?cites=12816407522232902123&as_sdt=2005&sciodt=0,5&hl=en",,,6.8,5,https://academic.oup.com/mbe/article/37/11/3175/5863255
20,"C Ning, D Fernandes, P Changmai, O Flegontova, ...",The genomic formation of First American ancestors in East and Northeast Asia,2020,BioRxiv,biorxiv.org,https://www.biorxiv.org/content/10.1101/2020.10.12.336628.abstract,"https://scholar.google.com/scholar?cites=15783333086976387946&as_sdt=2005&sciodt=0,5&hl=en",,10.1101/2020.10.12.336628.abstract,4,5,https://www.biorxiv.org/content/biorxiv/early/2020/10/12/2020.10.12.336628.full.pdf
35,"J Kim, S Jeon, JP Choi, A Blazyte, Y Jeon, ...",The origin and composition of Korean ethnicity analyzed by ancient and present-day genome sequences,2020,Genome Biology and …,academic.oup.com,https://academic.oup.com/gbe/article-abstract/12/5/553/5812782,"https://scholar.google.com/scholar?cites=241962634489743366&as_sdt=2005&sciodt=0,5&hl=en",,,7,5,https://academic.oup.com/gbe/article/12/5/553/5812782
53,"M Lipson, M Spriggs, F Valentin, S Bedford, R Shing, ...",Three phases of ancient migration shaped the ancestry of human populations in Vanuatu,2020,Current Biology,cell.com,https://www.cell.com/current-biology/fulltext/S0960-9822(20)31366-X,"https://scholar.google.com/scholar?cites=6878200059696779361&as_sdt=2005&sciodt=0,5&hl=en",HTML,,10.6,5,https://www.cell.com/current-biology/fulltext/S0960-9822(20)31366-X
158,"DM Fernandes, KA Sirak, H Ringbauer, J Sedig, ...",A genetic history of the pre-contact Caribbean,2021,Nature,nature.com,https://www.nature.com/articles/s41586-020-03053-2,"https://scholar.google.com/scholar?cites=4432562002296616003&as_sdt=2005&sciodt=0,5&hl=en",HTML,,39.5,4,https://www.nature.com/articles/s41586-020-03053-2
42,"LM Hennelly, B Habib, S Modi, EK Rueness, ...",Ancient divergence of Indian and Tibetan wolves revealed by recombination‐aware phylogenomics,2021,Molecular …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/mec.16127,"https://scholar.google.com/scholar?cites=9816939424586069743&as_sdt=2005&sciodt=0,5&hl=en",,10.1111/mec.16127,10.5,4,https://onlinelibrary.wiley.com/doi/pdf/10.1111/mec.16127
61,"I Pugach, A Hübner, H Hung, M Meyer, ...",Ancient DNA from Guam and the peopling of the Pacific,2021,Proceedings of the …,pnas.org,https://www.pnas.org/doi/abs/10.1073/pnas.2022112118,"https://scholar.google.com/scholar?cites=822006075463091942&as_sdt=2005&sciodt=0,5&hl=en",,10.1073/pnas.2022112118,15.25,4,https://www.pnas.org/doi/pdf/10.1073/pnas.2022112118
64,"MR Capodiferro, B Aram, A Raveane, NR Migliore, ...",Archaeogenomic distinctiveness of the Isthmo-Colombian area,2021,Cell,cell.com,https://www.cell.com/cell/fulltext/S0092-8674(21)00229-4,"https://scholar.google.com/scholar?cites=16856113541046450580&as_sdt=2005&sciodt=0,5&hl=en",HTML,,16,4,https://www.cell.com/cell/fulltext/S0092-8674(21)00229-4
175,"É Harney, N Patterson, D Reich, J Wakeley",Assessing the performance of qpAdm: a statistical tool for studying population admixture,2021,Genetics,academic.oup.com,https://academic.oup.com/genetics/article-abstract/217/4/iyaa045/6070149,"https://scholar.google.com/scholar?cites=9940227757492509514&as_sdt=2005&sciodt=0,5&hl=en",,,43.75,4,https://academic.oup.com/genetics/article/217/4/iyaa045/6070149
